"jobtitle","company","location","salary","companysize","companyrating","summary"
"Machine Learning Scientist","Amazon Corporate LLC","Seattle, WA","NA",nan,43.2,"Extensive knowledge and practical experience in machine learning, data mining, artificial intelligence, statistics with track record of publications...."
"Software Engineer, Machine Learning","Google","Mountain View, CA","NA",nan,52.8,"Participate in cutting edge research in artificial intelligence and machine learning applications. 2 years of work or educational experience in Machine Learning..."
"Machine Learning Engineer","Xilinx","San Jose, CA 95124 (Cambrian Park area)","NA",69,44.4,"NA"
"Junior Data Scientist","Aquasight","Troy, MI 48084","NA",nan,nan,"NA"
"NA","HBO","New York, NY","NA",86,52.8,"NA"
"Online Chat Support Representative","CarLabs","Los Angeles, CA","$35,000 - $37,000 a year",nan,nan,"NA"
"Machine Learning Engineer","Dropbox","San Francisco, CA","NA",15,44.4,"NA"
"Senior Product Manager, Artificial Intelligence and Machine...","Keller Williams","Austin, TX 78746","NA",nan,53.4,"NA"
"Machine Learning Engineer","HomeLight","San Francisco, CA","NA",nan,nan,"NA"
"Research Software Engineer, Google Brain","Google","New York, NY 10011 (Chelsea area)","NA",nan,52.8,"NA"
"Student Research Collaboration","Google","Pittsburgh, PA","NA",nan,52.8,"NA"
"Software Engineering Intern: Back-End","Apple","Santa Clara Valley, CA","NA",nan,52.2,"NA"
"Data Scientist","Hyperloop One","Los Angeles, CA","NA",5,51.0,"NA"
"Machine Learning Engineer","Apple","Santa Clara Valley, CA","NA",nan,52.2,"NA"
"Software Engineer, Cloud Machine Learning","Google","Mountain View, CA","NA",nan,52.8,"NA"
"Data Scientist","ABBOTT LABORATORIES","Irving, TX 75038","NA",nan,52.2,"NA"
"Data Analyst (ML/AI) with J2EE/Spring","Loginsoft Consulting LLC","Township of Warren, NJ","NA",nan,nan,"NA"
"Software Engineer, Machine Learning","Facebook","Seattle, WA","NA",189,52.2,"NA"
"Jr Software Engineer","Leidos","Arlington, VA 22202 (Aurora Highlands area)","NA",284,43.8,"NA"
"Cloud Machine Learning Research Scientist","Google","Mountain View, CA","NA",nan,52.8,"NA"
"Principle Engineer","Intellipro Group Inc.","Santa Clara, CA","NA",nan,nan,"Machine learning, recommendation systems, categorization, large-scale data mining or artificial intelligence, NLP...."
"Data Scientist","Wells Fargo","Charlotte, NC","NA",nan,43.8,"NA"
"Applied AI Engineer","Bonsai","Berkeley, CA","NA",7,42.6,"The ideal candidate is a talented, experienced, and passionate Artificial Intelligence Engineer with a broad knowledge of machine learning techniques to help..."
"Deep Learning Research Engineer","Intellipro Group Inc.","San Jose, CA 95134 (North San Jose area)","NA",nan,nan,"Produce Intellectual property in the general area of artificial intelligence and/or autonomous driving; Job Tasks and Responsibilities:...."
"Jr. Unity 3D Programmer","AVNIK Defense Solutions, Inc.","Huntsville, AL","NA",nan,nan,"Familiarity with one or more programming specialties (virtual reality/augmented reality, artificial intelligence, 3D Visualization, 3D Rendering, 3D animation,..."
"Research Scientist, Google Brain (United States)","Google","New York, NY 10011 (Chelsea area)","NA",nan,52.8,"Experience in Natural Language Understanding, Computer Vision, Machine Learning, Algorithmic Foundations of Optimization, Data Mining or Machine Intelligence..."
