"jobtitle","company","location","salary","companysize","companyrating","summary"
"Data Scientist","TiVo","Durham, NC","NA",45,43.2,"Experience with AI (Artificial Intelligence) and Neural Networks. Perform large-scale data analysis and mathematical modeling...."
"VR/AR Software Engineer","Samsung Research America","Mountain View, CA 94043","NA",nan,51.0,"(No artificial intelligence background is necessary.). Experience or knowledge in Artificial Intelligence is a BIG plus...."
"Customer Experience Technology Architect","f5","Seattle, WA","NA",nan,nan,"Experience with IoT, Machine Learning or Artificial Intelligence solutions highly desired. Interested in working with smart people on hard problems in an..."
"Security Research Scientist","Intel","Hillsboro, OR 97124","NA",nan,52.2,"This role will focus on the research/design/development of hardware/software architectures and prototypes of leading edge security solutions leveraging the..."
"Executive Assistant","ClosedLoop","Austin, TX 78701 (Downtown area)","NA",nan,nan,"NA"
"Machine Learning Artificial Intelligence","Amazon Web Services","New York, NY","NA",nan,nan,"Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI)?..."
"Principal Associate, Data Science","Capital One","Plano, TX","NA",nan,51.0,"Collaborating with team members to build machine learning and artificial intelligence solutions from development through testing and validation...."
"Deep Learning Data Scientist","TekVizor","Boston, MA","NA",nan,nan,"Experience in deep learning, deep neural networks, CNN, random forests, classifiers or Artificial Intelligence...."
"Research Scientist, Behavior, Motion Planning and Control","Toyota Research Institute","Los Altos, CA","NA",nan,nan,"And (4) accelerate scientific discovery by applying techniques from artificial intelligence and machine learning...."
"Co-op - Cab Engineering, Human Factors Research Engineer (Sp...","Volvo Group","Greensboro, NC 27409","NA",nan,51.6,"Conduct research, design experiments and collect empirical performance data to optimize vehicle control layouts and information delivery for the truck cockpit..."
"Network Software Engineer","Intel","Hillsboro, OR 97124","NA",nan,52.2,"NA"
"Software Engineer, Embedded Systems","Google","Mountain View, CA","NA",nan,52.8,"NA"
"Artificial Intelligence/FutureTech Investigative Reporter","The New York Times","New York, NY","NA",135,51.0,"NA"
"Postdoctoral Research Assoc","Northeastern University","Boston, MA","NA",264,52.8,"NA"
"Research Engineer III","Strategic Analysis, Inc","Arlington, VA 22203 (Bluemont area)","NA",10,53.4,"NA"
"Artificial Intelligence Content Lead","Royal Caribbean Cruises Ltd.","Miramar, FL","NA",nan,52.2,"NA"
"Senior Product Manager - Cognitive","Automation Anywhere","San Jose, CA 95131 (North Valley area)","NA",7,52.8,"NA"
"Instagram - Software Engineer, Machine Learning","Facebook","New York, NY","NA",189,52.2,"NA"
"Analyst","Toyota Research Institute","Los Altos, CA","NA",nan,nan,"NA"
"Machine Learning Architect","QuintilesIMS","Plymouth Meeting, PA","NA",881,44.4,"NA"
"Speech Synthesis Research Engineer","Oben","Pasadena, CA","NA",nan,nan,"NA"
"Machine Learning Engineer","Mercari","San Francisco, CA","NA",2,60.0,"NA"
"DSP RESEARCH ENGINEER","MJK Concepts","Cambridge, MA","NA",nan,nan,"NA"
"Machine Intelligence Strategic Analysis and Planning Leader","Booz Allen Hamilton","Washington, DC","NA",nan,44.4,"NA"
